trip_id,load_id,driver_id,truck_id,trailer_id,dispatch_date,actual_distance_miles,actual_duration_hours,fuel_gallons_used,average_mpg,idle_time_hours,trip_status,first_name,last_name,cdl_class,years_experience,make,model_year,fuel_type,status,customer_id,route_id,revenue,booking_type,typical_distance_miles,base_rate_per_mile,fuel_surcharge_rate,customer_name,customer_type
TRIP00000001,LOAD00000001,DRV00117,TRK00035,TRL00167,2022-01-01,1314,26.2,183.8,7.15,3.5,Completed,Patricia,Moore,A,11.0,International,2015.0,Diesel,Active,CUST00183,RTE00019,3045.23,Spot,1271,2.33,0.32,Pacific Foods,Spot
TRIP00000002,LOAD00000002,DRV00141,TRK00108,TRL00082,2022-01-01,515,8.6,93.6,5.5,8.3,Completed,Thomas,Wilson,A,3.0,Volvo,2015.0,Diesel,Active,CUST00076,RTE00058,1224.48,Dedicated,519,2.27,0.19,Metro Wholesale,Spot
TRIP00000003,LOAD00000003,DRV00032,TRK00031,TRL00138,2022-01-01,2509,45.0,339.1,7.4,12.0,Completed,Michael,Anderson,A,20.0,Kenworth,2018.0,Diesel,Active,CUST00027,RTE00048,7171.12,Spot,2332,2.69,0.34,Superior Foods,Spot
TRIP00000004,LOAD00000004,DRV00083,TRK00105,TRL00018,2022-01-01,717,11.1,110.3,6.5,9.6,Completed,Patricia,Martin,A,21.0,Volvo,2015.0,Diesel,Active,CUST00088,RTE00013,1308.2,Spot,673,1.7,0.21,Continental Foods,Dedicated
TRIP00000005,LOAD00000005,DRV00044,TRK00076,TRL00054,2022-01-01,2243,35.0,328.9,6.82,11.6,Completed,Richard,Davis,A,24.0,Kenworth,2015.0,Diesel,Active,CUST00185,RTE00020,3317.18,Spot,2172,1.77,0.34,Premier Industries,Contract
TRIP00000006,LOAD00000006,DRV00120,TRK00062,TRL00007,2022-01-01,1977,39.4,358.8,5.51,6.6,Completed,Jessica,Johnson,A,10.0,Mack,2017.0,Diesel,Active,CUST00193,RTE00004,3582.78,Spot,2017,1.84,0.19,Premier Supply Chain,Spot
TRIP00000007,LOAD00000007,DRV00055,TRK00002,TRL00093,2022-01-01,1350,20.9,230.8,5.85,2.3,Completed,Mary,Anderson,A,6.0,Kenworth,2015.0,Diesel,Active,CUST00169,RTE00038,3872.46,Contract,1311,2.71,0.24,First Distribution,Dedicated
TRIP00000008,LOAD00000008,DRV00065,TRK00035,TRL00148,2022-01-01,2748,50.5,437.6,6.28,10.5,Completed,Robert,Brown,A,25.0,International,2015.0,Diesel,Active,CUST00049,RTE00016,5914.9,Spot,2729,2.5,0.17,Continental Corp,Spot
TRIP00000009,LOAD00000009,DRV00129,TRK00014,TRL00083,2022-01-01,3226,51.4,465.5,6.93,4.1,Completed,Michael,Smith,A,6.0,International,2015.0,Diesel,Active,CUST00075,RTE00025,4759.42,Dedicated,3141,1.65,0.18,Elite Corp,Contract
TRIP00000010,LOAD00000010,DRV00029,TRK00116,TRL00126,2022-01-01,3388,60.2,460.3,7.36,5.7,Completed,James,Martin,A,13.0,International,2019.0,Diesel,Active,CUST00079,RTE00025,5723.39,Dedicated,3141,1.65,0.18,Pacific Logistics,Spot
